Closest HP Site,City,Latitude,Longitude,Year,Accident,Active Shooter,Civil Unrest,Criminal Activity,Health / Outbreak,Natural Disaster,Others,Political Unrest,Terrorist Act,Cyberattack,Power loss,Total_Risk_Score,Normalized_Risk_Score,Accident_Severity,Active Shooter_Severity,Civil Unrest_Severity,Criminal Activity_Severity,Health / Outbreak_Severity,Natural Disaster_Severity,Others_Severity,Political Unrest_Severity,Terrorist Act_Severity,Cyberattack_Severity,Power loss_Severity,Total_Risk_Score_Severity,Continent
Istanbul (TIS),Istanbul,41.006381,28.9758715,2024,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,7.309486780715396,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Jakarta (JKK),Jakarta,-6.1754049,106.827168,2021,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,13.963039014373717,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Jakarta (JKK),Jakarta,-6.1754049,106.827168,2022,0.0,0.0,25.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,161.0,13.302752293577983,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Jakarta (JKK),Jakarta,-6.1754049,106.827168,2023,0.0,0.0,109.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,165.0,23.136645962732917,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Jakarta (JKK),Jakarta,-6.1754049,106.827168,2024,36.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,109.0,14.463452566096423,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Johannesburg (JNB),Johannesburg,-26.205,28.049722,2022,0.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.211009174311927,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Africa
Johannesburg (JNB),Johannesburg,-26.205,28.049722,2023,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,2.7950310559006213,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Africa
Kolkata (KKT),Kolkata,22.5726459,88.3638953,2022,0.0,0.0,0.0,0.0,0.0,317.0,50.0,0.0,0.0,0.0,0.0,367.0,32.20183486238532,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Kolkata (KKT),Kolkata,22.5726459,88.3638953,2023,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,8.695652173913043,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Kolkata (KKT),Kolkata,22.5726459,88.3638953,2024,66.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,21.77293934681182,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Kuala Lumpur (MWS),Kuala Lumpur,3.1526589,101.7022205,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,2.4640657084188913,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Kuala Lumpur (MWS),Kuala Lumpur,3.1526589,101.7022205,2022,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.385321100917431,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Labege (TEA),Toulouse,43.6044638,1.4442433,2024,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.7776049766718507,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
Lima (LIM),Lima,-12.0459808,-77.0305912,2021,24.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,140.0,26.283367556468175,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,South America
Lima (LIM),Lima,-12.0459808,-77.0305912,2022,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,3.577981651376147,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,South America
Lima (LIM),Lima,-12.0459808,-77.0305912,2023,0.0,0.0,34.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,146.0,20.18633540372671,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
Lima (LIM),Lima,-12.0459808,-77.0305912,2024,0.0,0.0,30.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,46.0,4.665629860031104,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,South America
Lisbon (LIS),Lisbon,38.7077507,-9.1365919,2024,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.043545878693624,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
London (GBN),London,51.4893335,-0.1440551,2021,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,19.096509240246405,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
London (GBN),London,51.4893335,-0.1440551,2022,169.0,0.0,186.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,41.00917431192661,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Europe
London (GBN),London,51.4893335,-0.1440551,2023,110.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,27.795031055900623,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Europe
London (GBN),London,51.4893335,-0.1440551,2024,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,12.441679626749613,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Lyon (LYN),Lyon,45.7578137,4.8320114,2023,0.0,0.0,42.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,138.0,18.944099378881987,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Makati City (PH006),Makati City,14.5567949,121.0211226,2023,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Makati City (PMC),Makati City,14.5567949,121.0211226,2021,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,66.0,11.088295687885012,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Makati City (PMC),Makati City,14.5567949,121.0211226,2022,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,105.0,8.1651376146789,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Makati City (PMC),Makati City,14.5567949,121.0211226,2023,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,392.0,58.38509316770186,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Makati City (PMC),Makati City,14.5567949,121.0211226,2024,0.0,0.0,160.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,260.0,37.947122861586315,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Melbourne (MCV),Melbourne,-37.8142454,144.9631732,2021,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,10.472279260780288,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Oceania
Melbourne (MCV),Melbourne,-37.8142454,144.9631732,2022,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,10.642201834862384,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Oceania
Meudon (PMO),Paris,48.8588897,2.320041,2021,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.8480492813141685,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
Meudon (PMO),Paris,48.8588897,2.320041,2022,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.651376146788991,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
Meudon (PMO),Paris,48.8588897,2.320041,2023,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,42.0,4.037267080745342,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
Meudon (PMO),Paris,48.8588897,2.320041,2024,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,42.0,4.043545878693624,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Europe
Milano (MCR),Milan,45.4641943,9.1896346,2022,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,5.137614678899083,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Montreal (MRE),Montreal,45.5031824,-73.5698065,2021,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,6.570841889117044,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,North America
Mumbai (IRT),Mumbai,19.054999,72.8692035,2022,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,5.412844036697248,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Mumbai (IRT),Mumbai,19.054999,72.8692035,2023,51.0,0.0,0.0,0.0,0.0,119.0,141.0,0.0,0.0,0.0,0.0,311.0,45.807453416149066,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Mumbai (IRT),Mumbai,19.054999,72.8692035,2024,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,5.443234836702955,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Munich (DES),Munich,48.1371079,11.5753822,2022,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,126.0,10.091743119266056,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Munich (DES),Munich,48.1371079,11.5753822,2023,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,9.627329192546584,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Munich (DES),Munich,48.1371079,11.5753822,2024,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,6.842923794712286,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Nes Ziona (INR),Nes Ziona,31.9295577,34.7990609,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,6.570841889117044,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Nes Ziona (INR),Nes Ziona,31.9295577,34.7990609,2023,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,22.981366459627328,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Osaka (OSK),Osaka,34.6937569,135.5014539,2021,21.0,0.0,0.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,61.0,10.061601642710473,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Ota - Ku (JAO),Tokyo,35.6768601,139.7638947,2021,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0,21.560574948665295,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Ottawa (OSC),Ottawa,45.4208777,-75.6901106,2021,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,87.0,15.400410677618073,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Perth (PAU),Perth,-31.9558967,115.8605784,2021,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.026694045174538,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Oceania
Perth (PAU),Perth,-31.9558967,115.8605784,2024,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.488335925349922,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Oceania
Poly - Mexico City (MXM01),Mexico City,19.3207722,-99.1514678,2021,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.642710472279261,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Poly - Sydney (NSA01),Sydney,-33.8698439,151.2082848,2022,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.8256880733944955,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Oceania
Poly - Warsaw (WAP01),Warsaw,52.2333742,21.0711489,2023,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,106.0,13.975155279503104,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Europe
Poly Melbourne (MEA01),Melbourne,-37.8142454,144.9631732,2022,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,7.339449541284404,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Oceania
Porto Alegre (POA),Porto Alegre,-30.0324999,-51.2303767,2022,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,14.12844036697248,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
Porto Alegre (POA),Porto Alegre,-30.0324999,-51.2303767,2024,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,5.287713841368585,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,South America
Praha (PUE),Prague,50.0874654,14.4212535,2023,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,56.0,6.211180124223603,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Pune (IPU),Pune,18.5213738,73.8545071,2022,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.1192660550458715,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Pune (IPU),Pune,18.5213738,73.8545071,2023,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,2.018633540372671,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Ramat Gan (RIS01),Tel Aviv,32.0852997,34.7818064,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.7776049766718507,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Rhodes (SNO),Sydney,-33.8698439,151.2082848,2022,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.3119266055045875,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Oceania
Roma (ITR),Rome,41.8933203,12.4829321,2022,12.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,44.0,2.5688073394495414,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Santa Ana (SJN),San Jose,37.3361663,-121.890591,2021,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Santa Ana (SJN),San Jose,37.3361663,-121.890591,2022,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.1834862385321101,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Santiago (SNT),Santiago,9.8694792,-83.7980749,2021,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,92.0,16.427104722792606,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Santiago (SNT),Santiago,9.8694792,-83.7980749,2022,0.0,0.0,25.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,134.0,10.825688073394495,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Santiago (SNT),Santiago,9.8694792,-83.7980749,2023,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,3.7267080745341614,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,North America
Santiago (SNT),Santiago,9.8694792,-83.7980749,2024,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,108.0,14.307931570762053,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,North America
Seoul (KOR),Seoul,37.5666791,126.9782914,2022,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.8256880733944955,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Asia
Seoul (KOR),Seoul,37.5666791,126.9782914,2023,76.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,128.0,17.391304347826086,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Seoul (KOR),Seoul,37.5666791,126.9782914,2024,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,22.0,0.0,0.0,52.0,5.598755832037325,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Asia
Shanghai (SCS),Shanghai,31.2312707,121.4700152,2023,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,114.0,15.217391304347828,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Shinagawa (JAT),Tokyo,35.6768601,139.7638947,2021,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,464.0,92.81314168377824,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Shinagawa (JAT),Tokyo,35.6768601,139.7638947,2022,88.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,282.0,24.403669724770644,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Shinagawa (JAT),Tokyo,35.6768601,139.7638947,2023,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,205.0,29.347826086956523,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Shinagawa (JAT),Tokyo,35.6768601,139.7638947,2024,100.0,0.0,0.0,148.0,0.0,131.0,0.0,0.0,280.0,0.0,0.0,659.0,100.0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Asia
Singapore (SIN),Singapore,1.357107,103.8194992,2022,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,119.0,9.44954128440367,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Asia
Solna (SOO),Stockholm,59.3251172,18.0710935,2021,0.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,44.0,6.570841889117044,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Europe
Sydney (KOA),Sydney,-33.8698439,151.2082848,2022,68.0,0.0,0.0,84.0,0.0,135.0,68.0,0.0,0.0,0.0,0.0,355.0,31.10091743119266,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,Oceania
Sydney (KOA),Sydney,-33.8698439,151.2082848,2023,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,104.0,13.664596273291924,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Oceania
Sydney (KOA),Sydney,-33.8698439,151.2082848,2024,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.1104199066874028,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Oceania
Taipei City (TNT),Taipei City,-34.5948217,-58.5020211,2022,0.0,0.0,34.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,295.0,25.596330275229356,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
Taipei City (TNT),Taipei City,-34.5948217,-58.5020211,2023,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,430.0,64.28571428571429,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
Taipei City (TPC),Taipei City,-34.5948217,-58.5020211,2021,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,352.0,69.81519507186859,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Very High,South America
